"","Tranche2CDSValue_0.0005","Tranche2CDSValue_0.0008","Tranche2CDSValue_0.0012","Tranche2CDSValue_0.0016","Tranche2CDSValue_0.0028","Date"
"164",625709.811548625,-586206.882101197,-2202095.80696763,-3817984.73183406,-8665651.50643335,2005-09-06
"165",639179.239761982,-569094.768420232,-2180126.77932985,-3791158.79023947,-8624254.82296833,2005-09-07
"166",641797.858007856,-573626.620335993,-2194192.59146113,-3814758.56258626,-8676456.47596166,2005-09-08
"167",689400.504298465,-528776.810835765,-2153013.23101474,-3777249.65119371,-8649958.91173063,2005-09-09
"168",734325.466555404,-492924.897277735,-2129258.71572192,-3765592.53416611,-8674593.98949866,2005-09-12
"169",754946.866378537,-474285.234609343,-2113261.36925985,-3752237.50391036,-8669165.90786188,2005-09-13
"170",798289.778359665,-434116.663344023,-2077325.25228227,-3720533.84122052,-8650159.60803527,2005-09-14
"171",851159.841637381,-380705.922579785,-2023193.60820267,-3665681.29382556,-8593144.35069422,2005-09-15
"172",876641.197305608,-350055.563969853,-1985651.24567047,-3621246.92737108,-8528033.97247293,2005-09-16
"173",905736.967226565,-318791.252908184,-1951495.54642118,-3584199.83993418,-8482312.72047318,2005-09-19
"174",950529.021919491,-292017.192980406,-1948745.4795136,-3605473.7660468,-8575658.62564639,2005-09-20
"175",1022301.73052416,-257167.391690527,-1963126.22131011,-3669085.05092969,-8786961.53978844,2005-09-21
"176",1097069.28350977,-186943.003975075,-1898959.3872882,-3610975.77060133,-8747024.92054072,2005-09-22
"177",1176888.81436207,-118523.414940491,-1845739.72067724,-3572956.02641399,-8754604.94362425,2005-09-23
"178",1251630.22845581,-40348.1571869547,-1762986.00471064,-3485623.85223432,-8653537.39480537,2005-09-26
"179",1384196.65557489,98592.3464575314,-1615546.73236561,-3329685.81118875,-8472103.04765817,2005-09-27
"180",1462845.17098426,216205.374617623,-1445981.02053789,-3108167.41569341,-8094726.60115996,2005-09-28
"181",1506381.61614506,265063.19922295,-1390028.02333987,-3045119.24590269,-8010392.91359114,2005-09-29
"182",1571539.51379622,339867.21223767,-1302362.52317372,-2944592.25858512,-7871281.4648193,2005-09-30
"183",1641031.58633804,401454.18687059,-1251315.679086,-2904085.5450426,-7862395.14291238,2005-10-03
"184",1714170.8041758,480456.251110713,-1164496.4863094,-2809449.22372952,-7744307.43598988,2005-10-04
"185",1754756.89216971,515315.148012545,-1137273.84419701,-2789862.83640656,-7747629.81303521,2005-10-05
"186",1830528.80808116,586205.90203605,-1072891.3060241,-2731988.51408425,-7709280.13826471,2005-10-06
"187",1857238.16354911,605839.004324966,-1062693.20797389,-2731225.42027274,-7736822.05716931,2005-10-07
"188",1873750.7654792,630036.494393153,-1028249.20038824,-2686534.89516963,-7661391.9795138,2005-10-11
"189",1846520.60981353,605191.810323941,-1049913.25566218,-2705018.3216483,-7670333.51960666,2005-10-12
"190",1848093.91355062,607378.971925899,-1046907.61690706,-2701194.20574002,-7664053.97223891,2005-10-13
"191",1810262.65424108,565369.105014727,-1094488.96062041,-2754347.02625554,-7733921.22316094,2005-10-14
"192",1797628.29848864,553762.091412575,-1104726.18468885,-2763214.46079027,-7738679.28909453,2005-10-17
"193",1764779.87503826,516825.263572248,-1147114.21838244,-2811053.70033712,-7802872.14620117,2005-10-18
"194",1665203.73423488,414876.730071792,-1252225.94214566,-2919328.61436311,-7920636.63101547,2005-10-19
"195",1569915.77123948,297119.066147128,-1399943.20730935,-3097005.48076582,-8188192.30113524,2005-10-20
"196",1453152.7845752,183296.00663443,-1509846.36395327,-3202988.73454097,-8282415.84630406,2005-10-21
"197",1299592.43193566,26362.8350164355,-1671276.62754254,-3368916.09010151,-8461834.47777842,2005-10-24
"198",1193365.4742184,-78447.6559348873,-1774198.49613927,-3469949.33634365,-8557201.85695679,2005-10-25
